t= 2.391525E-14	r= 2.550570E-07	r'= 8.417213E+06	r''= -3.812059E+21	th= 3.102442E+00	th'= 1.779190E+13
t= 2.393550E-14	r= 2.553948E-07	r'= 8.263027E+06	r''= -3.802088E+21	th= 3.103162E+00	th'= 1.774487E+13
t= 2.395575E-14	r= 2.557263E-07	r'= 8.109241E+06	r''= -3.792340E+21	th= 3.103880E+00	th'= 1.769889E+13
t= 2.397600E-14	r= 2.560516E-07	r'= 7.955845E+06	r''= -3.782811E+21	th= 3.104595E+00	th'= 1.765395E+13
t= 2.399625E-14	r= 2.563707E-07	r'= 7.802830E+06	r''= -3.773499E+21	th= 3.105309E+00	th'= 1.761002E+13
t= 2.401650E-14	r= 2.566837E-07	r'= 7.650189E+06	r''= -3.764401E+21	th= 3.106022E+00	th'= 1.756711E+13
t= 2.403675E-14	r= 2.569904E-07	r'= 7.497911E+06	r''= -3.755514E+21	th= 3.106732E+00	th'= 1.752520E+13
t= 2.405700E-14	r= 2.572910E-07	r'= 7.345989E+06	r''= -3.746836E+21	th= 3.107441E+00	th'= 1.748428E+13
t= 2.407725E-14	r= 2.575854E-07	r'= 7.194414E+06	r''= -3.738365E+21	th= 3.108149E+00	th'= 1.744433E+13
t= 2.409750E-14	r= 2.578737E-07	r'= 7.043179E+06	r''= -3.730098E+21	th= 3.108854E+00	th'= 1.740534E+13
t= 2.411775E-14	r= 2.581559E-07	r'= 6.892274E+06	r''= -3.722033E+21	th= 3.109559E+00	th'= 1.736731E+13
t= 2.413800E-14	r= 2.584320E-07	r'= 6.741691E+06	r''= -3.714167E+21	th= 3.110261E+00	th'= 1.733023E+13
t= 2.415825E-14	r= 2.587020E-07	r'= 6.591423E+06	r''= -3.706500E+21	th= 3.110962E+00	th'= 1.729407E+13
t= 2.417850E-14	r= 2.589659E-07	r'= 6.441462E+06	r''= -3.699028E+21	th= 3.111662E+00	th'= 1.725884E+13
t= 2.419875E-14	r= 2.592238E-07	r'= 6.291800E+06	r''= -3.691749E+21	th= 3.112360E+00	th'= 1.722452E+13
t= 2.421900E-14	r= 2.594756E-07	r'= 6.142428E+06	r''= -3.684662E+21	th= 3.113057E+00	th'= 1.719111E+13
t= 2.423925E-14	r= 2.597213E-07	r'= 5.993339E+06	r''= -3.677765E+21	th= 3.113753E+00	th'= 1.715859E+13
