t= 2.652749E-15	r= 6.894468E-08	r'= 4.199703E+07	r''= -4.918863E+22	th= 2.936725E+00	th'= 2.434982E+14
t= 2.654999E-15	r= 6.913317E-08	r'= 4.177626E+07	r''= -4.893186E+22	th= 2.937818E+00	th'= 2.421723E+14
t= 2.657249E-15	r= 6.932067E-08	r'= 4.155664E+07	r''= -4.867842E+22	th= 2.938905E+00	th'= 2.408640E+14
t= 2.659499E-15	r= 6.950719E-08	r'= 4.133815E+07	r''= -4.842826E+22	th= 2.939986E+00	th'= 2.395730E+14
t= 2.661749E-15	r= 6.969272E-08	r'= 4.112078E+07	r''= -4.818132E+22	th= 2.941061E+00	th'= 2.382992E+14
t= 2.663999E-15	r= 6.987727E-08	r'= 4.090451E+07	r''= -4.793754E+22	th= 2.942131E+00	th'= 2.370421E+14
t= 2.666249E-15	r= 7.006086E-08	r'= 4.068934E+07	r''= -4.769688E+22	th= 2.943195E+00	th'= 2.358014E+14
t= 2.668499E-15	r= 7.024348E-08	r'= 4.047524E+07	r''= -4.745927E+22	th= 2.944253E+00	th'= 2.345769E+14
t= 2.670749E-15	r= 7.042514E-08	r'= 4.026220E+07	r''= -4.722466E+22	th= 2.945306E+00	th'= 2.333683E+14
t= 2.672999E-15	r= 7.060584E-08	r'= 4.005021E+07	r''= -4.699301E+22	th= 2.946353E+00	th'= 2.321753E+14
t= 2.675249E-15	r= 7.078559E-08	r'= 3.983926E+07	r''= -4.676427E+22	th= 2.947395E+00	th'= 2.309977E+14
t= 2.677499E-15	r= 7.096440E-08	r'= 3.962933E+07	r''= -4.653838E+22	th= 2.948432E+00	th'= 2.298351E+14
t= 2.679749E-15	r= 7.114226E-08	r'= 3.942041E+07	r''= -4.631529E+22	th= 2.949464E+00	th'= 2.286873E+14
t= 2.681999E-15	r= 7.131918E-08	r'= 3.921248E+07	r''= -4.609497E+22	th= 2.950491E+00	th'= 2.275541E+14
t= 2.684249E-15	r= 7.149517E-08	r'= 3.900555E+07	r''= -4.587736E+22	th= 2.951512E+00	th'= 2.264352E+14
t= 2.686499E-15	r= 7.167023E-08	r'= 3.879958E+07	r''= -4.566242E+22	th= 2.952528E+00	th'= 2.253303E+14
t= 2.688749E-15	r= 7.184437E-08	r'= 3.859458E+07	r''= -4.545012E+22	th= 2.953540E+00	th'= 2.242394E+14
t= 2.690999E-15	r= 7.201759E-08	r'= 3.839053E+07	r''= -4.524039E+22	th= 2.954547E+00	th'= 2.231620E+14
t= 2.693249E-15	r= 7.218989E-08	r'= 3.818741E+07	r''= -4.503321E+22	th= 2.955548E+00	th'= 2.220980E+14
t= 2.695499E-15	r= 7.236128E-08	r'= 3.798523E+07	r''= -4.482854E+22	th= 2.956546E+00	th'= 2.210471E+14
t= 2.697749E-15	r= 7.253176E-08	r'= 3.778395E+07	r''= -4.462632E+22	th= 2.957538E+00	th'= 2.200092E+14
t= 2.699999E-15	r= 7.270133E-08	r'= 3.758359E+07	r''= -4.442653E+22	th= 2.958526E+00	th'= 2.189841E+14
t= 2.702249E-15	r= 7.287001E-08	r'= 3.738411E+07	r''= -4.422913E+22	th= 2.959509E+00	th'= 2.179715E+14
t= 2.704499E-15	r= 7.303779E-08	r'= 3.718552E+07	r''= -4.403408E+22	th= 2.960487E+00	th'= 2.169712E+14
