t= 7.667999E-15	r= 1.224432E-07	r'= 3.278731E+07	r''= -1.616169E+22	th= 2.986348E+00	th'= 7.720192E+13
t= 7.674749E-15	r= 1.228843E-07	r'= 3.256990E+07	r''= -1.604846E+22	th= 2.987387E+00	th'= 7.664859E+13
t= 7.681499E-15	r= 1.233225E-07	r'= 3.235400E+07	r''= -1.593715E+22	th= 2.988418E+00	th'= 7.610481E+13
t= 7.688249E-15	r= 1.237579E-07	r'= 3.213959E+07	r''= -1.582772E+22	th= 2.989442E+00	th'= 7.557034E+13
t= 7.694999E-15	r= 1.241903E-07	r'= 3.192664E+07	r''= -1.572013E+22	th= 2.990458E+00	th'= 7.504497E+13
t= 7.701749E-15	r= 1.246199E-07	r'= 3.171513E+07	r''= -1.561433E+22	th= 2.991468E+00	th'= 7.452848E+13
t= 7.708499E-15	r= 1.250466E-07	r'= 3.150505E+07	r''= -1.551029E+22	th= 2.992471E+00	th'= 7.402067E+13
t= 7.715249E-15	r= 1.254705E-07	r'= 3.129635E+07	r''= -1.540796E+22	th= 2.993466E+00	th'= 7.352135E+13
t= 7.721999E-15	r= 1.258916E-07	r'= 3.108902E+07	r''= -1.530731E+22	th= 2.994456E+00	th'= 7.303033E+13
t= 7.728749E-15	r= 1.263100E-07	r'= 3.088304E+07	r''= -1.520830E+22	th= 2.995438E+00	th'= 7.254741E+13
t= 7.735499E-15	r= 1.267255E-07	r'= 3.067839E+07	r''= -1.511089E+22	th= 2.996414E+00	th'= 7.207241E+13
t= 7.742249E-15	r= 1.271383E-07	r'= 3.047504E+07	r''= -1.501505E+22	th= 2.997384E+00	th'= 7.160517E+13
t= 7.748999E-15	r= 1.275483E-07	r'= 3.027298E+07	r''= -1.492075E+22	th= 2.998348E+00	th'= 7.114552E+13
t= 7.755749E-15	r= 1.279557E-07	r'= 3.007218E+07	r''= -1.482794E+22	th= 2.999305E+00	th'= 7.069327E+13
t= 7.762499E-15	r= 1.283603E-07	r'= 2.987262E+07	r''= -1.473661E+22	th= 3.000257E+00	th'= 7.024829E+13
t= 7.769249E-15	r= 1.287622E-07	r'= 2.967428E+07	r''= -1.464672E+22	th= 3.001202E+00	th'= 6.981040E+13
t= 7.775999E-15	r= 1.291615E-07	r'= 2.947715E+07	r''= -1.455823E+22	th= 3.002142E+00	th'= 6.937946E+13
t= 7.782749E-15	r= 1.295581E-07	r'= 2.928120E+07	r''= -1.447112E+22	th= 3.003075E+00	th'= 6.895533E+13
t= 7.789499E-15	r= 1.299521E-07	r'= 2.908642E+07	r''= -1.438537E+22	th= 3.004003E+00	th'= 6.853785E+13
t= 7.796249E-15	r= 1.303434E-07	r'= 2.889279E+07	r''= -1.430094E+22	th= 3.004926E+00	th'= 6.812690E+13
t= 7.802999E-15	r= 1.307322E-07	r'= 2.870029E+07	r''= -1.421780E+22	th= 3.005843E+00	th'= 6.772233E+13
t= 7.809749E-15	r= 1.311184E-07	r'= 2.850891E+07	r''= -1.413593E+22	th= 3.006754E+00	th'= 6.732402E+13
t= 7.816499E-15	r= 1.315019E-07	r'= 2.831862E+07	r''= -1.405531E+22	th= 3.007661E+00	th'= 6.693183E+13
t= 7.823249E-15	r= 1.318830E-07	r'= 2.812941E+07	r''= -1.397590E+22	th= 3.008562E+00	th'= 6.654564E+13
t= 7.829999E-15	r= 1.322614E-07	r'= 2.794126E+07	r''= -1.389769E+22	th= 3.009457E+00	th'= 6.616533E+13
